,범죄 발생지,,,,,,,,,,,,,,,,,,,,,범죄 발생지,,,,,,,,,,,,,,,,,,,,,범죄 발생지,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
범죄대분류,범죄중분류,계, 서울 , 부산 , 대구 , 인천 , 광주 , 대전 , 울산 , 부천 , 수원 , 성남 , 전주 , 안양 , 청주 , 마산 , 창원 , 광명 , 포항 , 안산 ,구분,, 진주 , 고양 , 제주 , 목포 , 의정부 , 익산 , 군산 , 구미 , 천안 , 여수 , 춘천 , 원주 , 평택 , 경주 , 김해 , 순천 , 군포 , 남양주 , 강릉 ,구분,, 충주 , 안동 , 경산 , 아산 , 거제 , 김천 , 정읍 , 용인 , 시흥 , 파주 , 양산 , 이천 , 구리 , 서산 , 제천 , 논산 , 기타도시 , 도시이외 
계,,"1,793,400","360,468","137,788","97,968","92,766","67,513","45,073","38,716","35,196","38,097","30,465","22,584","17,627","21,854","1,953","33,757","8,442","19,720","25,968",계,,"11,991","28,248","29,045","11,786","14,971","12,611","14,078","17,847","23,060","12,704","10,936","15,704","18,230","11,304","19,616","10,654","7,652","14,262","8,984",계,,"7,458","6,150","8,766","7,767","10,104","4,195","3,566","19,559","16,666","12,040","9,273","7,292","7,851","5,864","4,584","3,582","144,465","124,580"
,,-100,-20.1,-7.7,-5.5,-5.2,-3.8,-2.5,-2.2,-2,-2.1,-1.7,-1.3,-1,-1.2,-0.1,-1.9,-0.5,-1.1,-1.4,,,-0.7,-1.6,-1.6,-0.7,-0.8,-0.7,-0.8,-1,-1.3,-0.7,-0.6,-0.9,-1,-0.6,-1.1,-0.6,-0.4,-0.8,-0.5,,,-0.4,-0.3,-0.5,-0.4,-0.6,-0.2,-0.2,-1.1,-0.9,-0.7,-0.5,-0.4,-0.4,-0.3,-0.3,-0.2,-8.1,-6.9
강력범죄,,"25,149","6,033","1,836","1,195","1,521","1,059",711,471,520,677,459,319,281,360,19,426,128,173,444,강력범죄,,118,393,348,133,272,170,118,187,359,143,115,180,205,140,204,137,142,181,105,강력범죄,,97,82,119,115,109,47,50,256,276,159,115,106,102,83,60,60,"1,667","1,364"
,살인기수,411,66,28,17,21,15,10,9,1,7,7,11,4,5,1,13,1,3,2,,살인기수,4,5,7,0,2,4,1,3,4,1,2,4,4,2,4,5,2,7,3,,살인기수,2,4,1,1,4,0,3,6,5,3,3,1,1,3,1,1,36,51
,살인미수등,584,112,56,16,29,13,20,14,11,13,11,5,8,12,3,12,2,1,7,,살인미수등,1,8,7,4,6,3,2,5,10,4,4,1,7,5,7,2,3,5,1,,살인미수등,6,1,1,2,4,4,1,6,4,4,3,3,0,5,1,4,57,48
,강도,"2,587",569,295,102,135,102,100,37,49,74,28,24,30,48,5,52,9,31,41,,강도,18,34,35,16,25,13,18,28,31,13,13,15,27,12,28,13,10,16,2,,강도,11,5,8,15,5,5,12,21,34,11,13,8,13,9,8,9,181,121
,강간강제추행,"19,670","4,916","1,332",974,"1,227",861,523,373,413,548,377,265,221,271,9,333,109,128,356,,강간강제추행,85,323,264,104,222,143,88,131,290,116,88,151,152,96,141,100,118,135,88,,강간강제추행,64,64,94,87,83,34,33,201,204,129,84,82,78,58,43,39,"1,220","1,002"
,방화,"1,897",370,125,86,109,68,58,38,46,35,36,14,18,24,1,16,7,10,38,,방화,10,23,35,9,17,7,9,20,24,9,8,9,15,25,24,17,9,18,11,,방화,14,8,15,10,13,4,1,22,29,12,12,12,10,8,7,7,173,142
 절도,,"290,460","61,332","25,494","16,554","10,394","12,678","12,568","6,118","6,714","6,854","5,300","3,571","2,556","4,980",364,"6,540","1,471","2,752","4,598", 절도,,"1,837","3,931","5,053","1,933","2,216","2,180","1,104","2,587","5,252","1,413","1,357","2,281","2,918","1,753","3,645","1,287","1,232","1,847","1,379", 절도,,"1,216",885,"1,499","1,877","1,361",539,484,"3,022","1,610","1,294","1,504",769,"1,298",668,524,817,"18,734","16,316"
폭력범죄,,"312,579","70,668","22,516","16,897","17,350","11,605","6,700","7,391","6,699","7,378","6,387","3,591","3,780","4,447",316,"5,857","2,071","2,459","5,415",폭력범죄,,"1,701","4,667","4,685","2,335","3,507","1,909","1,752","2,176","3,513","2,204","1,962","3,460","3,040","1,513","2,831","1,600","1,629","2,875","1,863",폭력범죄,,"1,068","1,069","1,448","1,517","1,380",562,637,"3,142","3,227","1,969","1,585","1,330","1,693",662,739,427,"22,543","16,832"
,상해,"62,342","10,742","6,875","3,851","2,894","1,544","1,799","1,538",732,"1,272","1,230",529,686,723,77,"1,409",344,705,771,,상해,458,711,"1,078",530,339,300,368,584,771,416,587,656,553,449,572,374,180,375,427,,상해,272,286,298,456,486,157,159,526,362,313,369,221,233,230,199,185,"5,265","4,876"
,폭행,"130,546","36,209","6,750","6,493","7,815","6,051","1,681","3,139","3,292","3,017","2,706","1,700","1,647","1,939",119,"2,245",864,765,"2,403",,폭행,581,"2,080","1,639","1,027","1,733",732,686,688,"1,203","1,038",552,"1,475","1,134",401,"1,211",727,864,"1,407",667,,폭행,341,393,548,401,375,201,229,"1,376","1,545",918,588,579,859,186,183,59,"8,378","4,707"
, 체포감금,876,155,78,30,36,24,19,10,17,28,23,19,11,14,0,18,5,6,12,, 체포감금,7,10,15,6,8,5,9,7,20,11,10,9,15,2,6,4,0,7,4,, 체포감금,4,6,8,6,4,1,4,12,9,7,3,8,2,1,3,1,59,78
,협박,"4,480","1,024",366,196,157,176,117,81,79,88,81,53,41,49,8,72,25,35,67,,협박,37,86,88,32,35,28,43,32,44,21,40,56,52,15,43,20,19,39,26,,협박,15,16,18,30,20,6,17,42,32,29,31,17,21,6,12,2,349,346
,약취유인,200,48,16,4,11,4,4,4,3,6,5,0,4,1,0,4,3,0,5,,약취유인,0,2,3,1,3,0,5,4,8,0,0,1,4,1,0,1,1,2,0,,약취유인,0,0,0,1,0,0,0,2,2,1,2,1,1,1,0,0,19,12
,폭력행위등,"46,725","9,318","3,644","2,263","2,812","1,286","1,102",964,998,"1,437",870,533,642,621,47,740,318,393,891,,폭력행위등,239,695,560,349,596,393,350,313,568,353,312,471,479,294,370,185,173,442,284,,폭력행위등,159,158,209,259,227,82,103,435,631,277,224,208,258,89,143,60,"3,675","3,223"
,공갈,"6,698","1,071",839,495,521,277,188,146,172,139,157,98,55,79,5,162,25,37,120,,공갈,39,96,52,46,97,28,24,54,71,36,25,42,47,32,67,24,29,64,20,,공갈,24,14,36,21,21,9,6,48,47,27,29,14,33,20,5,16,462,387
,손괴,"60,712","12,101","3,948","3,565","3,104","2,243","1,790","1,509","1,406","1,391","1,315",659,694,"1,021",60,"1,207",487,518,"1,146",,손괴,340,987,"1,250",344,696,423,267,494,828,329,436,750,756,319,562,265,363,539,435,,손괴,253,196,331,343,247,106,119,701,599,397,339,282,286,129,194,104,"4,336","3,203"
지능범죄,,"295,101","72,333","25,502","12,859","14,059","8,980","8,243","5,283","5,974","5,900","4,908","2,741","2,673","2,687",325,"5,446","1,355","2,356","4,152",지능범죄,,"1,574","4,606","4,211","1,916","2,808","1,225","3,262","2,842","3,263","1,406","1,124","2,042","2,389","1,501","2,723","1,345","1,423","2,164","1,174",지능범죄,,"1,146",984,"1,205","1,299","1,716",544,513,"3,119","2,362","2,370","1,269","1,022","1,393","1,395",666,570,"22,666","22,088"
,직무유기,496,119,35,16,7,15,11,6,6,6,11,8,3,12,0,5,0,2,9,,직무유기,3,8,6,1,4,3,1,0,5,2,6,5,1,3,2,1,0,8,10,,직무유기,0,1,1,2,2,0,5,1,1,2,3,1,3,1,2,1,51,79
,직권남용,276,77,20,7,5,6,10,7,3,12,6,0,4,4,1,4,1,2,2,,직권남용,4,5,6,0,2,1,1,1,3,2,3,0,5,0,3,2,1,1,3,,직권남용,1,1,0,2,0,0,1,3,0,2,0,0,2,0,0,0,23,27
,증수뢰,357,72,13,9,8,13,10,19,2,4,5,5,5,6,0,3,1,0,0,,증수뢰,4,3,2,3,4,0,0,0,0,4,1,2,4,1,3,0,1,1,0,,증수뢰,0,2,0,1,2,1,0,7,2,1,0,0,3,1,0,0,33,96
,통화,"8,203","3,963",209,285,519,96,190,46,173,254,211,41,164,78,4,31,63,28,49,,통화,16,147,11,32,113,0,11,12,37,8,63,29,75,10,1,9,37,107,38,,통화,30,6,21,14,0,1,0,79,8,80,1,20,87,12,8,4,449,223
,문서인장,"14,393","3,426","1,063",630,811,365,453,246,259,352,293,163,166,147,20,247,54,96,215,,문서인장,64,221,185,75,138,101,88,112,207,82,60,214,104,72,129,57,48,102,60,,문서인장,59,45,61,58,53,19,35,175,104,96,63,79,66,35,30,43,"1,149","1,098"
,유가증권인지,508,198,26,23,25,5,16,3,22,7,7,5,3,7,0,6,1,0,11,,유가증권인지,0,18,3,2,1,1,0,1,2,1,1,1,2,3,3,3,0,9,2,,유가증권인지,1,3,0,0,0,0,0,6,6,5,1,4,4,2,0,1,27,30
,사기,"235,366","55,533","21,605","10,727","10,960","7,513","6,743","4,379","4,736","4,463","3,614","2,195","1,957","2,191",274,"4,667","1,056","1,982","3,306",,사기,"1,326","3,489","3,321","1,637","2,169",942,"2,964","2,467","2,620","1,181",850,"1,489","1,911","1,277","2,275","1,156","1,160","1,603",936,,사기,950,854,996,"1,028","1,523",454,412,"2,385","1,951","1,891","1,068",783,"1,073",683,549,454,"18,077","17,561"
,횡령,"31,273","7,744","2,141","1,047","1,549",886,713,502,717,744,694,284,342,210,24,436,163,213,516,,횡령,147,655,642,138,352,154,178,217,346,112,119,280,255,111,275,109,158,287,116,,횡령,89,63,113,164,120,59,52,407,262,244,114,120,144,642,64,54,"2,417","2,569"
,배임,"4,229","1,201",390,115,175,81,97,75,56,58,67,40,29,32,2,47,16,33,44,,배임,10,60,35,28,25,23,19,32,43,14,21,22,32,24,32,8,18,46,9,,배임,16,9,13,30,16,10,8,56,28,49,19,15,11,19,13,13,440,405
풍속범죄,소계,"24,801","4,670","2,578","1,222","1,394",887,792,429,444,472,618,514,282,259,13,408,126,244,396,풍속범죄,소계,122,625,429,100,192,294,171,191,255,124,90,149,238,94,182,252,84,119,63,풍속범죄,소계,101,77,137,123,241,49,27,291,324,199,96,64,117,51,38,40,"1,917","1,387"
,성풍속범죄,"14,935","3,246","1,922",793,783,399,322,236,303,303,496,418,223,139,4,284,76,118,253,,성풍속범죄,69,526,261,41,153,59,119,95,129,55,59,84,139,45,124,51,48,82,44,,성풍속범죄,30,33,90,50,57,24,14,219,155,150,43,31,73,23,20,20,915,487
,도박범죄,"9,866","1,424",656,429,611,488,470,193,141,169,122,96,59,120,9,124,50,126,143,,도박범죄,53,99,168,59,39,235,52,96,126,69,31,65,99,49,58,201,36,37,19,,도박범죄,71,44,47,73,184,25,13,72,169,49,53,33,44,28,18,20,"1,002",900
특별경제범죄,,"78,155","23,180","6,233","3,873","4,403","2,123","1,551","1,404","1,692","1,737","1,640",664,861,658,65,"1,256",543,645,"1,178",특별경제범죄,,415,"1,534","1,182",250,717,321,327,517,883,356,307,381,708,374,736,296,346,513,254,특별경제범죄,,200,207,329,344,257,221,92,918,681,847,368,324,329,103,148,135,"5,081","3,448"
마약범죄,,"4,268",698,777,213,495,40,45,48,49,65,78,1,15,27,17,135,14,13,49,마약범죄,,108,19,27,7,27,7,4,37,16,21,21,14,120,10,96,9,2,13,14,마약범죄,,10,19,6,11,7,10,10,17,31,22,12,22,14,11,12,1,379,323
보건범죄,,"16,800","3,559","2,946",362,606,295,199,313,179,327,316,159,61,122,32,273,88,567,211,보건범죄,,118,254,83,55,77,65,101,76,101,"1,026",43,113,105,72,174,32,65,197,34,보건범죄,,23,38,14,46,100,36,44,154,99,65,128,28,40,45,27,35,"1,131","1,341"
환경범죄,,"3,083",31,173,11,72,8,14,74,5,10,15,13,0,3,3,34,14,72,9,환경범죄,,8,36,38,20,6,25,52,22,29,72,10,19,42,22,43,8,0,22,23,환경범죄,,5,3,3,7,22,2,6,28,91,11,4,28,5,14,9,19,"1,144",624
교통범죄,,"542,784","79,627","32,758","36,180","30,491","24,387","10,284","12,521","9,480","10,723","7,823","8,780","5,289","6,278",612,"9,927","1,775","7,881","6,940",교통범죄,,"4,771","9,312","9,328","4,014","3,543","5,502","3,996","7,735","7,251","4,418","4,934","5,234","6,871","4,785","6,947","4,923","2,046","4,246","2,374",교통범죄,,"3,019","2,230","3,194","1,623","4,084","1,874","1,311","6,379","6,475","3,861","3,313","2,777","2,221","1,578","1,877","1,099","47,685","44,198"
노동범죄,,"1,391",256,145,25,86,49,33,29,45,33,38,13,12,31,1,9,1,7,30,노동범죄,,3,17,35,42,2,2,30,5,22,22,2,23,31,4,9,14,5,2,5,노동범죄,,5,13,10,4,6,1,3,7,14,5,5,4,2,3,7,2,105,77
안보범죄,,109,38,1,3,9,5,2,2,1,1,1,3,1,1,0,0,1,0,1,안보범죄,,0,4,0,0,2,0,1,0,4,0,0,1,0,0,0,0,1,2,1,안보범죄,,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,11
선거범죄,,"1,262",188,97,37,48,34,20,23,16,24,16,23,16,15,1,34,5,14,30,선거범죄,,14,19,14,6,4,14,5,16,23,10,6,12,19,15,18,7,2,15,4,선거범죄,,8,2,3,6,7,4,4,16,9,9,9,13,5,7,2,1,138,155
병역범죄,,"23,143","5,920","1,487","1,077","1,443",516,528,440,440,586,360,235,331,297,24,525,78,190,395,병역범죄,,97,432,179,130,309,94,89,377,311,87,105,128,184,82,319,96,82,382,68,병역범죄,,41,74,143,99,126,28,33,251,276,235,140,109,103,51,54,58,"1,543","1,356"
기타,,"174,315","31,935","15,245","7,460","10,395","4,847","3,383","4,170","2,938","3,310","2,506","1,957","1,469","1,689",161,"2,887",772,"2,347","2,120",기타,,"1,105","2,399","3,433",845,"1,289",803,"3,066","1,079","1,778","1,402",860,"1,667","1,360",939,"1,689",648,593,"1,684","1,623",기타,,518,465,656,696,688,278,352,"1,959","1,190",994,724,696,529,"1,193",421,318,"19,725","15,060"
